Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,LTU,Lithuania,HepB_BD,97,97,98,96,96,98,98,92,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
EUR,LUX,Luxembourg,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MDG,Madagascar,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MWI,Malawi,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,MYS,Malaysia,HepB_BD,88,90,87,91,95,95,95,99,90,90,90,95,90,90,97,92,,,,,,,,,,,,,,,,,,,,
SEAR,MDV,Maldives,HepB_BD,99,99,99,99,98,97,99,99,99,99,99,98,98,98,98,62,,,,,,,,,,,,,,,,,,,,
AFR,MLI,Mali,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MLT,Malta,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,MHL,Marshall Islands (the),HepB_BD,99,76,81,85,92,99,98,94,90,90,99,91,93,90,99,99,,,,,,,,,,,,,,,,,,,,
AFR,MRT,Mauritania,HepB_BD,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MUS,Mauritius,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,MEX,Mexico,HepB_BD,98,90,82,90,98,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,FSM,Micronesia (Federated States of),HepB_BD,69,69,69,81,81,80,88,87,86,90,93,83,79,74,70,65,,,,,,,,,,,,,,,,,,,,
EUR,MCO,Monaco,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,MNG,Mongolia,HepB_BD,97,97,97,97,96,95,98,94,97,98,89,98,99,98,98,96,,,,,,,,,,,,,,,,,,,,
EUR,MNE,Montenegro,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,HepB_BD,14,14,14,9,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MOZ,Mozambique,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,MMR,Myanmar,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NAM,Namibia,HepB_BD,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NRU,Nauru,HepB_BD,99,99,99,99,99,99,99,99,99,99,98,90,95,99,99,98,,,,,,,,,,,,,,,,,,,,
SEAR,NPL,Nepal,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,NLD,Netherlands (the),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NZL,New Zealand,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,NIC,Nicaragua,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NER,Niger (the),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NGA,Nigeria,HepB_BD,32,32,32,32,31,29,20,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NIU,Niue,HepB_BD,99,99,99,99,99,55,99,99,99,70,9,21,99,99,99,99,,,,,,,,,,,,,,,,,,,,
