Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,IRL,Ireland,DTP1,98,98,98,98,98,98,98,97,97,97,96,96,95,94,94,95,95,94,90,90,90,88,88,87,86,85,85,68,69,69,70,70,67,68,61,59
EUR,ISR,Israel,DTP1,95,95,95,95,95,95,98,95,95,95,95,95,95,95,95,95,95,95,95,97,98,98,98,98,97,97,97,97,97,97,95,95,96,97,97,94
EUR,ITA,Italy,DTP1,97,98,98,99,98,98,98,98,99,98,98,98,98,97,97,95,98,98,98,98,98,98,98,98,98,94,,,,,,,,,,
AMR,JAM,Jamaica,DTP1,97,97,97,98,94,98,91,97,97,96,99,99,98,99,99,97,96,92,96,97,96,97,97,95,95,95,95,94,93,90,82,80,75,59,64,48
WPR,JPN,Japan,DTP1,98,98,98,99,99,99,99,99,99,99,99,99,99,98,98,88,88,88,88,99,90,93,95,95,97,96,95,95,95,94,94,94,93,93,91,82
EMR,JOR,Jordan,DTP1,99,98,99,98,98,98,98,98,99,99,98,96,98,96,99,91,86,99,99,99,99,95,93,97,97,97,97,97,96,96,95,93,91,91,93,55
EUR,KAZ,Kazakhstan,DTP1,99,96,99,99,99,99,98,99,97,99,99,85,99,96,96,98,98,99,98,98,97,91,91,93,,,,,,,,,,,,
AFR,KEN,Kenya,DTP1,96,97,95,98,98,93,92,90,89,90,85,87,89,90,84,83,89,93,96,96,96,96,96,96,92,92,92,92,91,89,88,80,,,,
WPR,KIR,Kiribati,DTP1,95,83,95,94,99,97,90,97,99,98,93,75,78,82,85,95,96,96,97,92,82,88,99,95,88,98,92,84,61,62,62,41,65,77,54,68
EMR,KWT,Kuwait,DTP1,99,97,99,99,99,98,99,99,99,99,99,99,99,99,99,98,97,98,98,99,99,99,98,96,93,88,97,97,97,97,96,96,96,94,92,86
EUR,KGZ,Kyrgyzstan,DTP1,99,96,98,96,97,99,98,99,98,96,98,99,99,99,99,99,99,98,98,98,97,94,84,94,,,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),DTP1,93,94,89,87,83,81,76,73,59,68,68,66,72,64,59,83,83,82,82,80,77,72,50,47,46,41,45,40,31,24,22,24,27,27,27,
EUR,LVA,Latvia,DTP1,98,93,96,92,95,99,98,94,98,98,99,99,98,99,99,99,98,99,99,99,99,99,97,95,,,,,,,,,,,,
EMR,LBN,Lebanon,DTP1,84,84,84,84,84,84,84,84,84,84,83,83,83,85,88,90,92,95,97,97,97,97,97,96,95,94,92,84,71,55,40,22,22,22,20,17
AFR,LSO,Lesotho,DTP1,98,98,98,98,97,97,96,96,96,96,95,95,95,89,83,87,90,92,93,94,95,94,94,93,92,91,91,90,89,91,92,88,83,79,75,75
AFR,LBR,Liberia,DTP1,77,74,97,92,86,80,90,85,80,75,75,65,69,73,76,80,84,,,,,,,,,,,,,,,,,,,
EMR,LBY,Libya,DTP1,96,96,98,99,99,98,98,98,98,98,98,99,99,97,96,97,97,98,98,98,98,98,98,96,95,94,95,94,94,94,93,93,92,89,86,82
EUR,LTU,Lithuania,DTP1,97,97,97,97,95,98,98,96,99,98,98,94,98,98,98,99,98,97,96,97,96,94,94,92,,,,,,,,,,,,
EUR,LUX,Luxembourg,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,97,97,97,96,96,96,98,95,91,87,91,,,
AFR,MDG,Madagascar,DTP1,79,83,80,80,80,78,80,84,92,93,88,82,79,76,75,74,73,73,73,73,80,86,86,85,77,71,70,67,60,55,47,42,47,37,,
AFR,MWI,Malawi,DTP1,93,97,96,99,98,97,97,97,96,99,99,99,99,94,99,98,98,98,98,96,96,94,97,95,95,95,95,94,92,80,78,80,84,84,86,80
WPR,MYS,Malaysia,DTP1,99,99,99,99,98,98,99,99,99,98,98,98,98,98,98,99,99,99,98,98,98,95,91,92,93,95,92,76,78,73,68,67,71,90,86,86
SEAR,MDV,Maldives,DTP1,99,99,99,99,97,97,99,99,99,98,99,98,98,98,99,98,99,98,98,98,99,98,93,99,98,97,97,95,67,67,53,48,35,18,18,22
AFR,MLI,Mali,DTP1,80,90,85,81,80,81,82,85,86,86,87,86,85,82,76,61,67,73,79,77,73,64,71,63,59,67,51,41,28,28,28,,,,,
