Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,GIN,Guinea,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GNB,Guinea-Bissau,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,GUY,Guyana,RotaC,96,95,94,91,77,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,HTI,Haiti,RotaC,43,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,HND,Honduras,RotaC,86,85,87,87,93,98,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,HUN,Hungary,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ISL,Iceland,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,IND,India,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,IDN,Indonesia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,IRN,Iran (Islamic Republic of),RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,IRQ,Iraq,RotaC,34,29,52,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,IRL,Ireland,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ISR,Israel,RotaC,80,81,81,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ITA,Italy,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,JAM,Jamaica,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,JPN,Japan,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,JOR,Jordan,RotaC,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,KAZ,Kazakhstan,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,KEN,Kenya,RotaC,66,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,KIR,Kiribati,RotaC,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,KWT,Kuwait,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,KGZ,Kyrgyzstan,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,LVA,Latvia,RotaC,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,LBN,Lebanon,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,LSO,Lesotho,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,LBR,Liberia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,LBY,Libya,RotaC,86,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,LTU,Lithuania,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,LUX,Luxembourg,RotaC,89,89,89,89,88,87,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MDG,Madagascar,RotaC,69,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MWI,Malawi,RotaC,84,83,81,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,MYS,Malaysia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,MDV,Maldives,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MLI,Mali,RotaC,33,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MLT,Malta,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,MHL,Marshall Islands (the),RotaC,90,44,52,60,43,25,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MRT,Mauritania,RotaC,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MUS,Mauritius,RotaC,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,MEX,Mexico,RotaC,81,85,81,99,98,90,93,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,FSM,Micronesia (Federated States of),RotaC,33,33,33,45,40,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MCO,Monaco,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,MNG,Mongolia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MNE,Montenegro,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,RotaC,90,90,90,88,80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MOZ,Mozambique,RotaC,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,MMR,Myanmar,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NAM,Namibia,RotaC,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NRU,Nauru,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,NPL,Nepal,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,NLD,Netherlands (the),RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NZL,New Zealand,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,NIC,Nicaragua,RotaC,98,98,98,98,98,98,94,89,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NER,Niger (the),RotaC,70,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NGA,Nigeria,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NIU,Niue,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,NOR,Norway,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,OMN,Oman,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,PAK,Pakistan,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,PLW,Palau,RotaC,97,99,99,89,89,76,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,PAN,Panama,RotaC,87,87,87,92,95,89,78,74,66,82,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,PNG,Papua New Guinea,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,PRY,Paraguay,RotaC,92,85,83,85,85,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,PER,Peru,RotaC,87,86,86,91,84,75,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,PHL,Philippines (the),RotaC,2,1,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,POL,Poland,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,PRT,Portugal,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,QAT,Qatar,RotaC,82,90,97,90,93,55,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,KOR,Republic of Korea (the),RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
